37k w/lbs,37k Eff,SLS w/lbs,sls eff
44.55542182,0.697706178,52.38532458,0.794811903
56.93486631,0.696945102,64.81277719,0.79450334
69.55223894,0.695376115,77.43275604,0.793191947
83.14618481,0.69303267,90.05297183,0.791903972
93.99297826,0.692346221,102.3087651,0.790070072
107.4062523,0.690856494,115.2943511,0.789421694
120.0236249,0.689287506,127.91433,0.788110301
132.2003873,0.687828402,141.0084182,0.786361778
145.2593179,0.686243202,152.0721559,0.784950372
157.8757428,0.684580544,165.7754512,0.784293212
170.8426854,0.682089484,178.3949562,0.782934984
183.1102511,0.681419151,191.9904421,0.780743754
195.7264391,0.679733075,202.8375363,0.780087029
209.0972059,0.676952611,216.2532342,0.778836883
220.9595258,0.676431176,228.8727392,0.777478655
233.5731076,0.674487505,242.09084,0.775189228
246.9762483,0.671996219,254.1129339,0.774879287
258.3264579,0.671066566,266.7305434,0.773333717
271.4188284,0.669148264,279.3483899,0.771811565
285.0076464,0.666297992,290.9512437,0.770128244
295.8514756,0.665318565,304.5864522,0.769001439
309.2605214,0.663410922,317.2052464,0.767572957
322.3476794,0.66097743,330.8867912,0.765238991
333.6922756,0.659492956,341.9641645,0.764702335
347.0996081,0.657415984,355.0594967,0.763076754
360.4996505,0.654618467,367.6752108,0.761343843
371.8478052,0.65348571,379.6789356,0.75921834
384.9372733,0.651280541,392.9132731,0.758533716
398.6127886,0.647877653,405.5306457,0.756964728
409.6828246,0.647088768,419.2126173,0.754199973
422.7709107,0.644746996,430.2861283,0.753754549
435.8278194,0.641215603,443.3818159,0.752164095
447.9916771,0.640227375,455.9958715,0.750267259
460.5998095,0.637745096,467.532756,0.748323588
472.9621612,0.635294599,481.2320383,0.747269791
485.8186804,0.633038134,493.8479894,0.745560297
498.4244435,0.630321678,506.8995005,0.742756675
509.9639494,0.628164125,519.0820238,0.742352069
523.6430776,0.625591298,531.6970272,0.740548904
537.3169047,0.622021558,545.3752075,0.737882406
548.8600531,0.620696993,556.4515818,0.737247005
561.4608406,0.617488765,569.5432218,0.735256498
573.2984883,0.614528765,582.630834,0.732867891
586.6737884,0.612196359,593.6974784,0.731270802
600.010784,0.608780717,607.3884687,0.729870422
611.88721,0.606950789,620.0011028,0.72783308
624.4827851,0.603227371,631.5989532,0.725655232
636.1060855,0.600703275,645.2315833,0.724273586
649.6898096,0.597349523,657.8449281,0.722306497
662.1361084,0.594007033,670.2505135,0.719836616
674.8949386,0.591284332,683.0730393,0.718512826
688.0911025,0.586826699,695.6856734,0.716475484
700.0974614,0.584961547,708.1403438,0.71396042
712.6930365,0.581238129,720.9140215,0.71270523
720.610745,0.578675839,733.5249971,0.710503964
733.3054423,0.575290027,745.9273491,0.7077145
745.1377511,0.571802347,758.7516867,0.706569787
758.4991987,0.568100785,771.3617145,0.70427485
770.6578998,0.56485653,783.3605753,0.701668595
783.6863211,0.560255848,796.5872195,0.700223584
795.5481492,0.556983102,809.1970104,0.697905229
808.8706793,0.552137704,821.0423504,0.695705524
819.7051381,0.548984717,834.4210938,0.693713456
832.9104304,0.544402049,847.8199698,0.690800652
840.8233608,0.541367502,858.5715437,0.689351515
853.5067249,0.536861542,872.2533096,0.687039405
861.4250049,0.533628095,885.8628879,0.683379352
874.1018348,0.529203946,897.4757346,0.682683708
882.9894325,0.525726314,910.0826823,0.680084341
895.8371291,0.52072673,922.4828183,0.677075852
901.6744058,0.51749306,935.3010794,0.675330543
914.1307833,0.512624198,947.9063686,0.672567252
919.9671855,0.509304085,957.7268657,0.670235515
932.4179897,0.503884368,970.8339719,0.668422314
940.9929391,0.500066443,984.4427279,0.664680989
949.3192865,0.496001437,995.5739751,0.663682177
962.1352183,0.489733372,1008.653157,0.660460288
969.4190779,0.484917548,1019.391697,0.657650162
978.7454039,0.479203636,1032.724024,0.655800161
990.3081219,0.472303807,1046.038405,0.652176269
1000.660005,0.466376702,1057.939341,0.650741933
1004.965575,0.461890382,1070.538234,0.647346363
1014.768912,0.456147396,1079.454443,0.644825612
1022.344098,0.44835802,1092.313806,0.64285016
1030.058763,0.449127039,1105.513942,0.638785119
,,1117.523674,0.637253324
,,1131.099731,0.633141841
,,1137.757439,0.631718935
,,1149.601421,0.629384969
,,1161.84362,0.626207476
,,1174.804892,0.623155854
,,1187.199202,0.619571565
,,1200.008125,0.616903322
,,1212.399774,0.613055928
,,1225.20681,0.610201169
,,1237.443563,0.606485362
,,1250.402509,0.603203954
,,1262.282744,0.599723494
,,1275.594686,0.595858594
,,1285.44104,0.592839269
,,1298.496622,0.589176737
,,1307.406959,0.586075561
,,1320.251581,0.582643192
,,1328.26164,0.579749152
