Altitude,Mach,Power Draw (w/lb),% efficiency,"drag, lbf/lbm"
0,0.25,269.4630453,0.648665533,0.029443149
0,0.25,320.4120357,0.642760506,0.036161092
0,0.25,370.3426532,0.636791572,0.043155472
0,0.25,419.2421797,0.630763561,0.050426289
0,0.25,467.0991398,0.624680819,0.057973545
0,0.25,513.9031483,0.618547265,0.065797237
0,0.25,559.6447804,0.612366445,0.073897368
0,0.25,604.31546,0.606141573,0.082273936
0,0.25,647.9073633,0.599875571,0.090926941
0,0.25,690.4133355,0.593571101,0.099856384
0,0.25,731.8268186,0.587230595,0.109062265
0,0.25,772.1417884,0.580856278,0.118544583
0,0.25,811.3526994,0.574450189,0.128303339
0,0.25,849.4544374,0.568014206,0.138338533
0,0.25,886.4422767,0.561550053,0.148650164
0,0.25,922.3118435,0.555059324,0.159238232
0,0.25,957.0590832,0.548543493,0.170102738
0,0.25,990.6802316,0.542003922,0.181243682
0,0.25,1023.17179,0.535441877,0.192661063
0,0.25,1054.530501,0.528858534,0.204354882
0,0.25,1084.753331,0.522254988,0.216325138
0,0.25,1113.837451,0.515632261,0.228571832
0,0.25,1141.780222,0.508991306,0.241094964
0,0.25,1168.579179,0.502333019,0.253894533
0,0.25,1194.232022,0.495658236,0.266970539
0,0.25,1218.736602,0.488967746,0.280322984
0,0.4,271.1303612,0.652679183,0.029443149
0,0.4,322.3611677,0.646670549,0.036161092
0,0.4,372.5617967,0.640607313,0.043155472
0,0.4,421.7212609,0.63449342,0.050426289
0,0.4,469.8296007,0.628332435,0.057973545
0,0.4,516.8777634,0.62212759,0.065797237
0,0.4,562.8575,0.615881821,0.073897368
0,0.4,607.7612751,0.609597801,0.082273936
0,0.4,651.5821891,0.603277968,0.090926941
0,0.4,694.3139106,0.596924554,0.099856384
0,0.4,735.950617,0.590539603,0.109062265
0,0.4,776.4869429,0.584124991,0.118544583
0,0.4,815.9179347,0.577682446,0.128303339
0,0.4,854.2390105,0.57121356,0.138338533
0,0.4,891.445925,0.564719801,0.148650164
0,0.4,927.5347383,0.558202531,0.159238232
0,0.4,962.5017883,0.551663008,0.170102738
0,0.4,996.3436666,0.545102403,0.181243682
0,0.4,1029.057196,0.538521803,0.192661063
0,0.4,1060.639413,0.53192222,0.204354882
0,0.4,1091.087547,0.5253046,0.216325138
0,0.4,1120.399011,0.518669824,0.228571832
0,0.4,1148.571379,0.512018719,0.241094964
0,0.4,1175.602385,0.50535206,0.253894533
0,0.4,1201.489902,0.498670572,0.266970539
0,0.4,1226.231938,0.49197494,0.280322984
0,0.6,271.4398732,0.653424256,0.029443149
0,0.6,322.6358662,0.647221607,0.036161092
0,0.6,372.7785631,0.640980036,0.043155472
0,0.6,421.8599683,0.634702109,0.050426289
0,0.6,469.8727709,0.628390169,0.057973545
0,0.6,516.8102708,0.622046354,0.065797237
0,0.6,562.6663143,0.615672625,0.073897368
0,0.6,607.4352389,0.609270779,0.082273936
0,0.6,651.1118227,0.602842472,0.090926941
0,0.6,693.691242,0.596389225,0.099856384
0,0.6,735.1690323,0.589912446,0.109062265
0,0.6,775.5410549,0.583413432,0.118544583
0,0.6,814.8034663,0.576893385,0.128303339
0,0.6,852.9526915,0.570353422,0.138338533
0,0.6,889.9854006,0.563794577,0.148650164
0,0.6,925.8984873,0.557217814,0.159238232
0,0.6,960.6890497,0.550624027,0.170102738
0,0.6,994.3543735,0.544014055,0.181243682
0,0.6,1026.891917,0.537388678,0.192661063
0,0.6,1058.299297,0.530748626,0.204354882
0,0.6,1088.574276,0.524094584,0.216325138
0,0.6,1117.714752,0.517427192,0.228571832
0,0.6,1145.71875,0.510747053,0.241094964
0,0.6,1172.584409,0.504054733,0.253894533
0,0.6,1198.309976,0.497350765,0.266970539
0,0.6,1222.8938,0.49063565,0.280322984
0,0.773,275.6870902,0.663648379,0.029443149
0,0.773,327.6327632,0.6572456,0.036161092
0,0.773,378.4999401,0.650817748,0.043155472
0,0.773,428.2833594,0.644366311,0.050426289
0,0.773,476.9781653,0.637892656,0.057973545
0,0.773,524.5798685,0.631398045,0.065797237
0,0.773,571.0843117,0.624883644,0.073897368
0,0.773,616.4876385,0.618350533,0.082273936
0,0.773,660.7862659,0.611799712,0.090926941
0,0.773,703.9768597,0.60523211,0.099856384
0,0.773,746.0563128,0.598648589,0.109062265
0,0.773,787.0217257,0.592049954,0.118544583
0,0.773,826.8703885,0.585436952,0.128303339
0,0.773,865.5997655,0.578810283,0.138338533
0,0.773,903.2074809,0.572170599,0.148650164
0,0.773,939.6913059,0.565518512,0.159238232
0,0.773,975.0491469,0.558854593,0.170102738
0,0.773,1009.279036,0.55217938,0.181243682
