VARIABLE = "CL","L/D"	
ZONE T="737"	
3.86E-06	0.000189352
0.009362168	0.459073742
0.018720476	0.917401285
0.028078784	1.374779473
0.037437092	1.830816564
0.0467954	2.28512272
0.056153709	2.737311123
0.065512017	3.186999089
0.074870325	3.633809156
0.084228633	4.077370147
0.093586941	4.517318204
0.102945249	4.953297775
0.112303557	5.384962566
0.121661865	5.811976438
0.131020173	6.23401425
0.140378481	6.650762645
0.149736789	7.061920778
0.159095097	7.467200968
0.168453405	7.866329295
0.177811713	8.259046119
0.187170021	8.645106529
0.196528329	9.024280728
0.205886637	9.396354333
0.215244945	9.761128618
0.224603253	10.11842067
0.233961561	10.46806351
0.243319869	10.80990607
0.252678177	11.14381323
0.262036485	11.46966565
0.271394793	11.78735966
0.280753101	12.09680702
0.290111409	12.39793469
0.299469717	12.69068446
0.308828025	12.97501264
0.318186333	13.25088965
0.327544641	13.51829958
0.336902949	13.7772397
0.346261257	13.70239563
0.355619565	13.96451249
0.364977874	14.218937
0.374336182	14.4656405
0.38369449	14.70460625
0.393052798	14.93582902
0.402411106	15.15931476
0.411769414	15.37508012
0.421127722	15.58315199
0.43048603	15.78356708
0.439844338	15.97637174
0.449202646	16.11801327
0.458560954	16.24802074
0.467919262	16.37085597
0.47727757	16.4866855
0.486635878	16.59567719
0.495994186	16.69799979
0.505352494	16.79382255
0.514710802	16.88331487
0.52406911	16.9666459
0.533427418	17.04398428
0.542785726	17.1135717
0.552144034	17.17095814
0.561502342	17.22302573
0.57086065	17.26994422
0.580218958	17.3118807
0.589577266	17.3489995
0.598935574	17.38146201
0.608293882	17.40942664
0.61765219	17.43304865
0.627010498	17.45248014
0.636368806	17.46786922
0.645727114	17.47619434
0.655085422	17.47818653
0.66444373	17.47672375
0.673802039	17.47194123
0.683160347	17.46397045
0.692518655	17.44488089
0.701876963	17.39067507
0.711235271	17.33504564
0.720593579	17.27808169
0.729951887	17.21986819
0.739310195	17.16048618
0.748668503	17.08904791
0.758026811	17.01518689
0.767385119	16.94088019
0.776743427	16.86617811
0.786101735	16.79112827
0.795460043	16.71896009
0.804818351	16.64939548
0.814176659	16.57936639
0.823534967	16.50891936
0.832893275	16.43809861
0.842251583	16.3593655
0.851609891	16.24386877
0.860968199	16.13010834
0.870326507	16.0180176
0.879684815	15.9075357
0.889043123	15.79862011
0.898401431	15.69123005
0.907759739	15.58532638
0.917118047	15.48087155
0.926476355	15.37782947
ZONE T="737 Flight"	
0.505352494	16.79382255
0.514710802	16.88331487
0.52406911	16.9666459
0.533427418	17.04398428
0.542785726	17.1135717
0.552144034	17.17095814
0.561502342	17.22302573
0.57086065	17.26994422
0.580218958	17.3118807
0.589577266	17.3489995
0.598935574	17.38146201
0.608293882	17.40942664
0.61765219	17.43304865
0.627010498	17.45248014
0.636368806	17.46786922
0.645727114	17.47619434
0.655085422	17.47818653
0.66444373	17.47672375
0.673802039	17.47194123
0.683160347	17.46397045
ZONE T = "CHEETA"	
0	0
0.00848975	0.516180659
0.016979501	1.031588172
0.025469251	1.545731683
0.033959001	2.058121576
0.042448751	2.568271042
0.050938502	3.075697652
0.059428252	3.579924886
0.067918002	4.080483653
0.076407752	4.576913751
0.084897503	5.068765286
0.093387253	5.555600027
0.101877003	6.036992692
0.110366754	6.512532158
0.118856504	6.981822588
0.127346254	7.444484468
0.135836004	7.900155548
0.144325755	8.348491689
0.152815505	8.789167601
0.161305255	9.221877481
0.169795006	9.646335545
0.178284756	10.06227646
0.186774506	10.31496821
0.195264256	10.71782287
0.203754007	11.11229208
0.212243757	11.49815248
0.220733507	11.87520054
0.229223257	12.24325264
0.237713008	12.60214504
0.246202758	12.95173386
0.254692508	13.29189483
0.263182259	13.62252308
0.271672009	13.94353282
0.280161759	14.25485691
0.288651509	14.53895063
0.29714126	14.80691031
0.30563101	15.06473393
0.31412076	15.31250271
0.322610511	15.5503108
0.331100261	15.77826445
0.339590011	15.99648118
0.348079761	16.20508888
0.356569512	16.404225
0.365059262	16.59403572
0.373549012	16.77467514
0.382038762	16.94630447
0.390528513	17.09888623
0.399018263	17.24252557
0.407508013	17.37778189
0.415997764	17.50485617
0.424487514	17.62395133
0.432977264	17.73527214
0.441467014	17.83902401
0.449956765	17.9354127
0.458446515	18.02464385
0.466936265	18.10692259
0.475426016	18.18245306
0.483915766	18.25166572
0.492405516	18.31550838
0.500895266	18.3731798
0.509385017	18.42487593
0.517874767	18.47079034
0.526364517	18.51111398
0.534854267	18.53809421
0.543344018	18.54159463
0.551833768	18.54080274
0.560323518	18.53590013
0.568813269	18.52706285
0.577303019	18.51446151
0.585792769	18.48574838
0.594282519	18.43622668
0.60277227	18.38450601
0.61126202	18.33071454
0.61975177	18.27497471
0.628241521	18.21740027
0.636731271	18.17026882
0.645221021	18.13215862
0.653710771	18.09168324
0.662200522	18.04896024
0.670690272	18.00410289
0.679180022	17.95722023
0.687669772	17.88089361
0.696159523	17.78796255
0.704649273	17.69502004
0.713139023	17.60210546
0.721628774	17.50925576
0.730118524	17.41650555
0.738608274	17.32388729
0.747098024	17.23143136
0.755587775	17.13916621
0.764077525	17.04711846
0.772567275	16.955313
0.781057026	16.86377308
0.789546776	16.73481993
0.798036526	16.60149404
0.806526276	16.47051509
0.815016027	16.34180707
0.823505777	16.21529761
0.831995527	16.09091777
0.840485277	15.96860449
ZONE T = "CHEETA Flight"	
0.458446515	18.02464385
0.466936265	18.10692259
0.475426016	18.18245306
0.483915766	18.25166572
