"Time, min.","VTAS, fps",Mach No.,"Altitude, ft","Climb Rate, Feet per Minute",Total Aircraft CD,Total Aircraft CL,Profile Drag,Induced Drag,Wave Drag,Wing Profile Drag,Fuselage Profile Drag,Fuselage Skin Friction,Reynolds Number,"Weight, Lbs","HEx Drag, lbs","FC Power Available, Watts","FC Power Required, Watts","Thrust Available, Lb","Thrust Required, Lb","Thrust Commanded, Lb","Thrust Power Commanded, Watts","Motor Power Commanded, Watts","Fuel Cell Power Commanded, Watts",TSFC lb/lbf-hr
1,279.157145490456,0.25,0,1496.10518955522,0.0691569103307646,1.12818377864928,0,0,0,0,0,0,16874673.8287533,192195.685817496,3378.61870799923,24627162.6951229,11217367.4727364,32336.2429425153,15163.6296713331,32336.2429425153,12238661.9032191,22970721.4370006,24627162.6951229,2.97994851273397e-05
2,293.816652813102,0.264492596080128,1496.10518955522,1542.99190255529,0.0626938529153528,1.06391063998496,0,0,0,0,0,0,17156812.176115,192137.852271574,3303.14357310451,24587442.2453735,11111118.8429898,31450.8788896952,14628.8015792861,31450.8788896952,12528665.7439784,22932104.5536143,24587442.2453735,3.06475515487308e-05
3,308.935577105462,0.279605599107359,3039.09709211051,1582.92148350135,0.0574337782619872,1.00718857562433,0,0,0,0,0,0,17401161.5155459,192080.001842376,3222.44529979708,24546040.4727682,11052675.8976765,30586.7917934981,14178.8868939242,30586.7917934981,12811426.2550264,22891853.0601199,24546040.4727682,3.15225547836542e-05
4,324.445749278222,0.29528945856702,4622.01857561186,1616.35960249266,0.0531460520397546,0.957397055043607,0,0,0,0,0,0,17604888.1780302,192022.135176244,3136.59293179503,24503100.5140532,11034403.7077394,29747.8982136577,13799.1427275494,29747.8982136577,13085610.9781935,22850106.1164481,24503100.5140532,3.24205908132438e-05
5,340.283563085829,0.311497355797233,6238.37817810453,1643.88012312232,0.0496430723139256,0.913905630889967,0,0,0,0,0,0,17766219.9447633,191964.253090208,3045.66725075505,24458758.8031976,11049096.9734948,28936.9527375702,13476.2504753554,28936.9527375702,13350249.9286398,22806996.3659779,24458758.8031976,3.3338045048825e-05
6,356.3910352547,0.328186299477689,7882.25830122685,1665.93777652413,0.0467818724731509,0.87610400864493,0,0,0,0,0,0,17884341.1333257,191906.356554563,2949.75399769566,24413141.9668795,11091329.9959582,28155.6952470314,13200.1890132366,28155.6952470314,13604690.1962862,22762646.9172769,24413141.9668795,3.42716545368346e-05
7,372.714638170139,0.345315991866939,9548.19607775098,1667.77092145559,0.0444459207446497,0.843424300364541,0,0,0,0,0,0,17959254.4842388,191848.446676948,2848.94898625274,24366369.8174181,11221002.6961257,27273.7612598237,12961.8360706443,27273.7612598237,13782154.4946619,22717174.2538787,24366369.8174181,3.53880279921758e-05
8,388.025241449407,0.361728232262102,11215.9669992066,1651.2858421523,0.0428534975348596,0.819920642166005,0,0,0,0,0,0,17943878.7533756,191790.535018904,2815.87160949684,24310044.4485706,11476988.2971421,26450.1286169892,12842.9114398621,26450.1286169892,13915005.9247656,22662413.7913413,24310044.4485706,3.64911004672428e-05
9,402.805230044602,0.377838536197477,12867.2528413589,1627.8088044152,0.041679414063535,0.801770039312268,0,0,0,0,0,0,17875936.3014126,191732.627340026,2807.51724849456,24251121.2979656,11755231.5842838,25695.2751445585,12777.6043440121,25695.2751445585,14032789.2501962,22605127.7220742,24251121.2979656,3.75605233204725e-05
10,417.375085214592,0.393931903417823,14495.0616457741,1602.50823194337,0.0407487965636217,0.786847490001312,0,0,0,0,0,0,17777420.8253691,191674.725657849,2797.64917440405,24193280.5552024,12028596.630455,24996.2503730159,12726.9860857722,24996.2503730159,14144806.6851528,22548893.9877546,24193280.5552024,3.86069119121465e-05
11,431.718485240937,0.409986775939397,16097.5698777174,1576.60935227369,0.0400115139031973,0.774764901084237,0,0,0,0,0,0,17651716.0644949,191616.832362504,2788.63981004367,24142552.1516895,12295502.1803153,24353.7844675332,12687.3793371156,24353.7844675332,14254852.6471336,22499574.9882169,24142552.1516895,3.96196433880156e-05
12,445.830074919021,0.425992993936904,17674.1792299911,1550.37420935408,0.0394400344725949,0.765189751117096,0,0,0,0,0,0,17501964.5403215,191558.946740542,2778.58524695127,24096626.7813235,12554165.8890261,23760.8494906297,12655.0563613038,23760.8494906297,14362397.914128,22454925.5775712,24096626.7813235,4.06029408338233e-05
13,459.706844493131,0.441942621641002,19224.5534393452,1523.65264662191,0.0390165498929826,0.757843939494358,0,0,0,0,0,0,17331081.7437082,191501.067176331,2765.91769686847,24051888.427055,12804233.0630931,23209.7840141186,12628.0658430109,23209.7840141186,14465974.6102806,22411430.2037629,24051888.427055,4.15626187184699e-05
14,472.669628530887,0.457173101846225,20748.2060859671,1486.65469276369,0.0388538458976551,0.754645383895519,0,0,0,0,0,0,17117361.8809898,191443.190076659,2796.3418039285,23985617.7712977,13085191.2391025,22694.5914894522,12656.0098176612,22694.5914894522,14543726.4300705,22347000.7675039,23985617.7712977,4.25043265620729e-05
15,484.635247561673,0.471566811319171,22234.8607787308,1439.30384342521,0.0389224950965895,0.755206561282865,0,0,0,0,0,0,16867910.9336826,191385.31297699,2870.61547593854,23897885.1812515,13397185.1940563,22213.4059211907,12737.3817476411,22213.4059211907,14595728.6120069,22261705.6809586,23897885.1812515,4.34250529273664e-05
16,496.219754403646,0.485685011178439,23674.164622156,1388.63947414049,0.0390697547054671,0.757068706052534,0,0,0,0,0,0,16613156.0876656,191327.435877322,2941.4206088637,23812694.6954558,13698103.3184916,21744.496574621,12818.1691423332,21744.496574621,14629148.0951,22178882.0705427,23812694.6954558,4.4361492779952e-05
17,507.39647957026,0.499481535187777,25062.8040962965,1331.39553950081,0.0392862950402975,0.760074716258553,0,0,0,0,0,0,16355936.0964425,191269.558777655,3008.68499729313,23730265.4683176,13987798.3577355,21265.2109521263,12897.9050100046,21265.2109521263,14628937.1658893,22098743.0018237,23730265.4683176,4.53613335862715e-05
18,518.112466196139,0.512875330263709,26394.1996357973,1276.05600801097,0.039562470341715,0.764060686109288,0,0,0,0,0,0,16099573.2057026,191211.681677989,3072.19137288771,23651013.1130214,14319696.1265192,20827.2579418016,12975.9809330425,20827.2579418016,14630250.6675082,22021692.540868,23651013.1130214,4.63151861118207e-05
19,528.383042227093,0.525868922276997,27670.2556438083,1222.55789680504,0.0398909640727648,0.768892102702132,0,0,0,0,0,0,15845595.7911894,191153.804578322,3132.13616205072,23574849.8463605,14671069.9786943,20426.0781829005,13052.4075464279,20426.0781829005,14632869.1982368,21947645.3433786,23574849.8463605,4.72248426318222e-05
20,538.223028679532,0.538465097638625,28892.8135406133,1170.8306826632,0.0402655798357713,0.774451375332221,0,0,0,0,0,0,15595259.6286647,191095.927478656,3188.70607945674,23501689.7461163,15002913.6866452,20057.7329050837,13127.24970443,20057.7329050837,14636584.6618012,21876517.8743423,23501689.7461163,4.80920915810286e-05
21,548.964723217509,0.551992111774874,30063.6442232765,1120.41262868152,0.0404409501704429,0.776890679930009,0,0,0,0,0,0,15386532.098528,191038.050378989,3245.0730434332,23432362.4893321,15331207.5823931,19692.8534546856,13192.5483840244,19692.8534546856,14657122.4469619,21809116.7596113,23432362.4893321,4.89831669138537e-05
22,581.185834040978,0.58725011540027,31184.056851958,1054.40437928293,0.0371300318384359,0.722309547406961,0,0,0,0,0,0,15775078.8410956,190980.173279333,3347.31230293448,23380974.3204015,15928972.3515823,18943.9936621482,13167.5464648514,18943.9936621482,14927331.9098018,21759156.3251362,23380974.3204015,5.09194811186654e-05
23,611.508662870215,0.620761194597657,32238.461231241,975.6639775268,0.0347051682133636,0.678504022167163,0,0,0,0,0,0,16099957.4511295,190922.296179688,3444.3985587732,23344386.96213,16571226.0213405,18291.4374845102,13212.9464561115,18291.4374845102,15165128.0058446,21723585.4855135,23344386.96213,5.27360590571953e-05
24,639.567055235313,0.652061084164983,33214.1252087678,888.282633528543,0.0329338838799023,0.643358159104239,0,0,0,0,0,0,16366667.1657865,190864.419080048,3533.70483416233,23317091.4796128,17231792.5909001,17726.6028624442,13307.1298595336,17726.6028624442,15371180.746194,21697048.3623945,23317091.4796128,5.44164234299175e-05
25,665.11251272553,0.680806109254924,34102.4078422963,793.812778286269,0.0316789102894531,0.615163529579385,0,0,0,0,0,0,16582143.3556376,190806.541980409,3613.04977632887,23291947.3719874,17923320.6180623,17238.5594221903,13441.9432635933,17238.5594221903,15545035.4967566,21672602.8418088,23291947.3719874,5.59570149504902e-05
